ocel:eid,ocel:timestamp,ocel:activity,ocel:type:vacancies,ocel:type:managers,ocel:type:applicants,ocel:type:applications,ocel:type:recruiters,ocel:type:offers
3314,2019-07-29 11:12:09+00:00,assign vacancy,['Vacancy[550091] - Consultant'],,,['Application[770527]'],,
3315,2019-07-29 11:15:02+00:00,conduct interview,['Vacancy[550042] - Programmer'],['Alexander Rinke'],['Pete Davis'],['Application[770278]'],['Simon Kershaw'],
3316,2019-07-29 11:18:40+00:00,assign recruiter,,,,['Application[770526]'],"['Simon Geisler', 'Dionne Kershaw', 'Simon Hense']",
3317,2019-07-29 11:38:06+00:00,submit application,,,['Pete Brown'],['Application[770603]'],,
3318,2019-07-29 11:38:18+00:00,assign recruiter,,,,['Application[770563]'],"['Jana Hense', 'Dionne Meister', 'Jana Geisler']",
3319,2019-07-29 11:38:43+00:00,first screening,,,,['Application[770512]'],['Dionne Keane'],
3320,2019-07-29 11:38:59+00:00,assign vacancy,['Vacancy[550047] - Consultant'],,,['Application[770575]'],,
3321,2019-07-29 11:40:32+00:00,assign recruiter,,,,['Application[770343]'],"['Jana Geisler', 'Dionne Kershaw', 'Ed Kershaw']",
3322,2019-07-29 11:48:54+00:00,conduct interview,['Vacancy[550001] - Manager'],['Vaishnavi Sashikanth'],['Stephan Schmidt'],['Application[770322]'],['Dionne Geisler'],
3323,2019-07-29 11:55:00+00:00,check references,,,,['Application[770395]'],"['Jana Kershaw', 'Dionne Kershaw']",
3324,2019-07-29 12:04:05+00:00,make job offer,['Vacancy[550050] - Manager'],['Martin Klenk'],['Chun Wang'],['Application[770426]'],['Jana Keane'],['Offer[[990036]]']
3325,2019-07-29 12:11:21+00:00,assign vacancy,['Vacancy[550083] - Consultant'],,,['Application[770513]'],,
3326,2019-07-29 12:12:51+00:00,assign recruiter,,,,['Application[770566]'],"['Jana Keane', 'Simon Kershaw', 'Dionne Kershaw']",
3327,2019-07-29 12:20:04+00:00,invite for interview,['Vacancy[550058] - Manager'],,['Johan Davis'],['Application[770419]'],"['Jana Kershaw', 'Simon Meister']",
3328,2019-07-29 12:23:20+00:00,make job offer,['Vacancy[550024] - Consultant'],['Martin Klenk'],['Jorge Smith'],['Application[770268]'],['Simon Geisler'],['Offer[[990037]]']
3329,2019-07-29 12:51:52+00:00,assign recruiter,,,,['Application[770541]'],"['Dionne Meister', 'Ed Geisler', 'Jana Meister']",
3330,2019-07-29 12:55:38+00:00,consult manager,,['Alexander Rinke'],,['Application[770452]'],['Ed Keane'],
3331,2019-07-29 13:04:50+00:00,check references,,,,['Application[770492]'],"['Simon Keane', 'Simon Geisler']",
3332,2019-07-29 13:08:57+00:00,conduct interview,['Vacancy[550047] - Consultant'],['Vaishnavi Sashikanth'],['Dave Jansen'],['Application[770405]'],['Ed Geisler'],
3333,2019-07-29 13:24:01+00:00,assign vacancy,['Vacancy[550066] - Consultant'],,,['Application[770424]'],,
3334,2019-07-29 13:29:39+00:00,assign vacancy,['Vacancy[550084] - Manager'],,,['Application[770558]'],,
3335,2019-07-29 13:40:37+00:00,first screening,,,,['Application[770526]'],['Simon Geisler'],
3336,2019-07-29 13:45:25+00:00,send rejection,,,['Toon Taylor'],['Application[770483]'],['Jana Meister'],
3337,2019-07-29 13:45:25+00:00,submit application,,,['Toon Taylor'],['Application[770604]'],,
3338,2019-07-29 13:45:35+00:00,conduct interview,['Vacancy[550032] - Programmer'],['Bastian Nominacher'],['Detlef Smith'],['Application[770369]'],['Dionne Hense'],
3339,2019-07-29 13:54:27+00:00,send rejection,,,['Jorge Zimmermann'],['Application[770320]'],['Dionne Keane'],
3340,2019-07-29 13:54:29+00:00,first screening,,,,['Application[770569]'],['Simon Geisler'],
3341,2019-07-29 13:56:41+00:00,assign recruiter,,,,['Application[770585]'],"['Jana Kershaw', 'Dionne Geisler', 'Ed Hense']",
3342,2019-07-29 14:11:38+00:00,assign vacancy,['Vacancy[550089] - Consultant'],,,['Application[770343]'],,
3343,2019-07-29 14:25:19+00:00,conduct interview,['Vacancy[550026] - Programmer'],['Alexander Rinke'],['Mary Park'],['Application[770359]'],['Ed Keane'],
3344,2019-07-29 14:30:41+00:00,first screening,,,,['Application[770439]'],['Dionne Kershaw'],
3345,2019-07-29 14:37:57+00:00,invite for interview,['Vacancy[550058] - Manager'],,['Pete Taylor'],['Application[770273]'],"['Simon Meister', 'Ed Geisler']",
3346,2019-07-29 14:43:09+00:00,assign recruiter,,,,['Application[770215]'],"['Ed Geisler', 'Dionne Meister', 'Jana Meister']",
3347,2019-07-29 14:49:19+00:00,assign recruiter,,,,['Application[770411]'],"['Simon Meister', 'Jana Geisler', 'Simon Hense']",
3348,2019-07-29 15:15:09+00:00,submit application,['Vacancy[550100] - Programmer'],,['Jorge Zimmermann'],['Application[770605]'],,
3349,2019-07-29 15:19:08+00:00,check references,,,,['Application[770265]'],"['Ed Meister', 'Simon Kershaw']",
3350,2019-07-29 15:31:07+00:00,assign recruiter,,,,['Application[770534]'],"['Dionne Meister', 'Ed Geisler', 'Ed Kershaw']",
3351,2019-07-29 15:36:28+00:00,send rejection,,,['Andre Neumann'],['Application[770218]'],['Simon Meister'],
3352,2019-07-29 15:43:15+00:00,open vacancy,['Vacancy[550101] - Consultant'],['Martin Klenk'],,,,
3353,2019-07-29 15:59:29+00:00,submit application,['Vacancy[550083] - Consultant'],,['Andre Neumann'],['Application[770606]'],,
3354,2019-07-29 16:17:30+00:00,conduct interview,['Vacancy[550028] - Manager'],['Ariel Bardin'],['Andre Smith'],['Application[770233]'],['Jana Kershaw'],
3355,2019-07-29 16:34:38+00:00,assign vacancy,['Vacancy[550061] - Programmer'],,,['Application[770411]'],,
3356,2019-07-29 17:07:45+00:00,invite for interview,['Vacancy[550055] - Consultant'],,['Detlef Johnson'],['Application[770471]'],"['Simon Keane', 'Simon Hense']",
3357,2019-07-29 17:12:03+00:00,send rejection,,,['Toon Pietersen'],['Application[770341]'],['Ed Hense'],
3358,2019-07-29 17:27:02+00:00,invite for interview,['Vacancy[550054] - Programmer'],,['Dave Wagner'],['Application[770488]'],"['Simon Geisler', 'Dionne Hense']",
3359,2019-07-29 17:43:18+00:00,submit application,['Vacancy[550070] - Programmer'],,['Toon Pietersen'],['Application[770607]'],,
3360,2019-07-29 18:35:28+00:00,check references,,,,['Application[770412]'],"['Jana Keane', 'Dionne Meister']",
3361,2019-07-29 19:31:59+00:00,assign recruiter,,,,['Application[770385]'],"['Simon Meister', 'Jana Keane', 'Jana Geisler']",
3362,2019-07-30 06:17:06+00:00,make job offer,['Vacancy[550042] - Programmer'],['Alexander Rinke'],['Pete Davis'],['Application[770278]'],['Simon Kershaw'],['Offer[[990038]]']
3363,2019-07-30 07:02:14+00:00,first screening,,,,['Application[770436]'],['Ed Kershaw'],
3364,2019-07-30 07:06:18+00:00,make job offer,['Vacancy[550028] - Manager'],['Ariel Bardin'],['Andre Smith'],['Application[770233]'],['Jana Kershaw'],['Offer[[990039]]']
3365,2019-07-30 07:08:52+00:00,assign vacancy,['Vacancy[550051] - Programmer'],,,['Application[770562]'],,
3366,2019-07-30 07:16:37+00:00,check references,,,,['Application[770466]'],"['Jana Geisler', 'Dionne Hense']",
3367,2019-07-30 07:21:45+00:00,check references,,,,['Application[770220]'],"['Simon Keane', 'Ed Kershaw']",
3368,2019-07-30 07:30:19+00:00,check references,,,,['Application[770556]'],"['Simon Hense', 'Simon Keane']",
3369,2019-07-30 07:50:38+00:00,send rejection,,,['Stephan Schmidt'],['Application[770322]'],['Dionne Geisler'],
3370,2019-07-30 07:50:38+00:00,submit application,['Vacancy[550093] - Manager'],,['Stephan Schmidt'],['Application[770608]'],,
3371,2019-07-30 07:58:32+00:00,check references,,,,['Application[770491]'],"['Jana Kershaw', 'Dionne Keane']",
3372,2019-07-30 08:17:05+00:00,send rejection,,,['Vanessa Wang'],['Application[770415]'],['Ed Keane'],
3373,2019-07-30 08:17:40+00:00,check references,,,,['Application[770413]'],"['Jana Geisler', 'Ed Geisler']",
3374,2019-07-30 08:33:16+00:00,assign recruiter,,,,['Application[770474]'],"['Jana Hense', 'Jana Keane', 'Simon Geisler']",
3375,2019-07-30 08:44:27+00:00,consult manager,,['Martin Klenk'],,['Application[770354]'],['Dionne Keane'],
3376,2019-07-30 08:52:47+00:00,first screening,,,,['Application[770317]'],['Simon Meister'],
3377,2019-07-30 08:56:21+00:00,first screening,,,,['Application[770579]'],['Dionne Keane'],
3378,2019-07-30 09:12:59+00:00,assign recruiter,,,,['Application[770607]'],"['Ed Kershaw', 'Jana Hense', 'Jana Geisler']",
3379,2019-07-30 09:20:05+00:00,assign vacancy,['Vacancy[550056] - Programmer'],,,['Application[770486]'],,
3380,2019-07-30 09:20:22+00:00,first screening,,,,['Application[770343]'],['Jana Geisler'],
3381,2019-07-30 09:24:11+00:00,first screening,,,,['Application[770518]'],['Ed Keane'],
3382,2019-07-30 09:25:36+00:00,submit application,['Vacancy[550076] - Programmer'],,['Vanessa Wang'],['Application[770609]'],,
3383,2019-07-30 09:27:29+00:00,make job offer,['Vacancy[550047] - Consultant'],['Vaishnavi Sashikanth'],['Dave Jansen'],['Application[770405]'],['Ed Geisler'],['Offer[[990040]]']
3384,2019-07-30 09:29:58+00:00,assign recruiter,,,,['Application[770553]'],"['Simon Keane', 'Jana Geisler', 'Ed Geisler']",
3385,2019-07-30 09:32:39+00:00,assign recruiter,,,,['Application[770581]'],"['Jana Hense', 'Simon Kershaw', 'Dionne Keane']",
3386,2019-07-30 09:41:27+00:00,open vacancy,['Vacancy[550102] - Programmer'],['Alexander Rinke'],,,,
3387,2019-07-30 09:41:50+00:00,check references,,,,['Application[770512]'],"['Jana Keane', 'Ed Kershaw']",
3388,2019-07-30 09:51:21+00:00,assign recruiter,,,,['Application[770355]'],"['Ed Keane', 'Dionne Meister', 'Simon Kershaw']",
3389,2019-07-30 09:56:36+00:00,first screening,,,,['Application[770424]'],['Ed Hense'],
3390,2019-07-30 09:58:16+00:00,assign vacancy,['Vacancy[550067] - Manager'],,,['Application[770563]'],,
3391,2019-07-30 10:04:09+00:00,conduct interview,['Vacancy[550047] - Consultant'],['Vaishnavi Sashikanth'],['Vanessa Pietersen'],['Application[770462]'],['Ed Meister'],
3392,2019-07-30 10:08:24+00:00,assign recruiter,,,,['Application[770580]'],"['Jana Hense', 'Dionne Keane', 'Ed Geisler']",
3393,2019-07-30 10:17:25+00:00,invite for interview,['Vacancy[550021] - Programmer'],,['Stephan Jansen'],['Application[770413]'],"['Jana Geisler', 'Ed Geisler']",
3394,2019-07-30 10:24:54+00:00,first screening,,,,['Application[770490]'],['Dionne Geisler'],
3395,2019-07-30 10:34:41+00:00,send rejection,,,['Detlef Smith'],['Application[770369]'],['Dionne Hense'],
3396,2019-07-30 10:35:31+00:00,submit application,['Vacancy[550084] - Manager'],,['Detlef Smith'],['Application[770610]'],,
3397,2019-07-30 10:40:59+00:00,check references,,,,['Application[770544]'],"['Simon Kershaw', 'Simon Geisler']",
3398,2019-07-30 10:58:22+00:00,invite for interview,['Vacancy[550031] - Programmer'],,['Dave Neumann'],['Application[770395]'],"['Jana Kershaw', 'Dionne Kershaw']",
3399,2019-07-30 11:04:06+00:00,first screening,,,,['Application[770607]'],['Ed Kershaw'],
3400,2019-07-30 11:09:47+00:00,invite for interview,['Vacancy[550042] - Programmer'],,['Dave Schmidt'],['Application[770452]'],"['Simon Keane', 'Dionne Kershaw']",
3401,2019-07-30 11:11:26+00:00,job offer declined,['Vacancy[550024] - Consultant'],,['Dave Lemmens'],['Application[770277]'],['Simon Keane'],['Offer[[990035]]']
3402,2019-07-30 11:42:07+00:00,check references,,,,['Application[770441]'],"['Jana Hense', 'Dionne Geisler']",
3403,2019-07-30 11:45:14+00:00,first screening,,,,['Application[770346]'],['Jana Keane'],
3404,2019-07-30 12:13:55+00:00,make job offer,['Vacancy[550026] - Programmer'],['Alexander Rinke'],['Mary Park'],['Application[770359]'],['Ed Keane'],['Offer[[990041]]']
3405,2019-07-30 12:16:06+00:00,assign recruiter,,,,['Application[770547]'],"['Dionne Meister', 'Simon Geisler', 'Jana Geisler']",
3406,2019-07-30 13:06:05+00:00,consult manager,,['Bastian Nominacher'],,['Application[770358]'],['Dionne Hense'],
3407,2019-07-30 13:08:06+00:00,check references,,,,['Application[770526]'],"['Dionne Kershaw', 'Simon Hense']",
3408,2019-07-30 13:11:26+00:00,send rejection,,,['Andre Lopez'],['Application[770434]'],['Simon Kershaw'],
3409,2019-07-30 13:11:26+00:00,submit application,['Vacancy[550082] - Programmer'],,['Andre Lopez'],['Application[770611]'],,
3410,2019-07-30 13:15:20+00:00,check references,,,,['Application[770515]'],"['Ed Keane', 'Jana Hense']",
3411,2019-07-30 13:19:06+00:00,assign recruiter,,,,['Application[770601]'],"['Ed Kershaw', 'Jana Geisler', 'Dionne Geisler']",
3412,2019-07-30 13:21:15+00:00,check references,,,,['Application[770439]'],"['Simon Geisler', 'Jana Kershaw']",
3413,2019-07-30 13:52:05+00:00,assign recruiter,,,,['Application[770472]'],"['Simon Geisler', 'Jana Hense', 'Jana Keane']",
3414,2019-07-30 13:56:10+00:00,first screening,,,,['Application[770527]'],['Ed Geisler'],
3415,2019-07-30 13:57:35+00:00,first screening,,,,['Application[770585]'],['Jana Kershaw'],
3416,2019-07-30 14:00:04+00:00,check references,,,,['Application[770523]'],"['Dionne Keane', 'Ed Meister']",
3417,2019-07-30 14:03:49+00:00,consult manager,,['Bastian Nominacher'],,['Application[770421]'],['Dionne Kershaw'],
3418,2019-07-30 14:04:14+00:00,assign vacancy,['Vacancy[550049] - Programmer'],,,['Application[770385]'],,
3419,2019-07-30 14:04:46+00:00,conduct interview,['Vacancy[550043] - Consultant'],['Bastian Nominacher'],['Stephan Johnson'],['Application[770295]'],['Dionne Geisler'],
3420,2019-07-30 14:05:20+00:00,assign vacancy,['Vacancy[550080] - Consultant'],,,['Application[770534]'],,
3421,2019-07-30 14:13:02+00:00,conduct interview,['Vacancy[550012] - Programmer'],['Miguel Milano'],['Chun Weber'],['Application[770131]'],['Dionne Hense'],
3422,2019-07-30 14:13:18+00:00,assign vacancy,['Vacancy[550043] - Consultant'],,,['Application[770408]'],,
3423,2019-07-30 14:20:19+00:00,assign vacancy,['Vacancy[550077] - Consultant'],,,['Application[770355]'],,
3424,2019-07-30 14:27:40+00:00,first screening,,,,['Application[770534]'],['Dionne Meister'],
3425,2019-07-30 14:30:05+00:00,check references,,,,['Application[770560]'],"['Ed Keane', 'Simon Meister']",
3426,2019-07-30 14:31:45+00:00,assign vacancy,['Vacancy[550062] - Programmer'],,,['Application[770547]'],,
3427,2019-07-30 14:42:46+00:00,close vacancy for new applications,['Vacancy[550060] - Consultant'],,,,,
3428,2019-07-30 14:42:46+00:00,consult manager,,['Martin Klenk'],,['Application[770402]'],['Ed Hense'],
3429,2019-07-30 14:53:08+00:00,send rejection,,,['Lisa Jones'],['Application[770379]'],['Dionne Keane'],
3430,2019-07-30 14:53:08+00:00,submit application,['Vacancy[550063] - Programmer'],,['Lisa Jones'],['Application[770612]'],,
3431,2019-07-30 14:55:45+00:00,assign vacancy,['Vacancy[550062] - Programmer'],,,['Application[770541]'],,
3432,2019-07-30 15:32:44+00:00,send rejection,,,['Sue Jansen'],['Application[770363]'],['Ed Kershaw'],
3433,2019-07-30 15:43:46+00:00,assign recruiter,,,,['Application[770557]'],"['Jana Meister', 'Dionne Geisler', 'Dionne Meister']",
3434,2019-07-30 16:07:02+00:00,offer accepted and hired,['Vacancy[550039] - Programmer'],,['Pete Davis'],['Application[770278]'],['Simon Kershaw'],['Offer[[990038]]']
3435,2019-07-30 16:30:35+00:00,submit application,,,['Sue Jansen'],['Application[770613]'],,
3436,2019-07-30 16:53:00+00:00,first screening,,,,['Application[770558]'],['Ed Meister'],
3437,2019-07-30 16:56:00+00:00,consult manager,,['Miguel Milano'],,['Application[770515]'],['Simon Hense'],
3438,2019-07-30 17:00:32+00:00,assign vacancy,['Vacancy[550079] - Consultant'],,,['Application[770215]'],,
3439,2019-07-30 17:01:51+00:00,open vacancy,['Vacancy[550103] - Programmer'],['Miguel Milano'],,,,
3440,2019-07-30 17:05:08+00:00,assign recruiter,,,,['Application[770450]'],"['Ed Keane', 'Simon Keane', 'Simon Geisler']",
3441,2019-07-30 17:16:55+00:00,invite for interview,['Vacancy[550037] - Consultant'],,['Andre Jones'],['Application[770298]'],"['Jana Kershaw', 'Simon Kershaw']",
3442,2019-07-30 17:34:47+00:00,assign recruiter,,,,['Application[770530]'],"['Simon Geisler', 'Dionne Meister', 'Jana Kershaw']",
3443,2019-07-30 20:33:44+00:00,change manager,['Vacancy[550012] - Programmer'],"['Miguel Milano', 'Martin Klenk']",,,,
3444,2019-07-31 06:28:29+00:00,assign recruiter,,,,['Application[770573]'],"['Dionne Hense', 'Jana Geisler', 'Jana Keane']",
3445,2019-07-31 06:36:22+00:00,send rejection,,,['Johan Lopez'],['Application[770366]'],['Dionne Kershaw'],
3446,2019-07-31 06:36:22+00:00,submit application,,,['Johan Lopez'],['Application[770614]'],,
3447,2019-07-31 07:09:17+00:00,first screening,,,,['Application[770563]'],['Jana Hense'],
3448,2019-07-31 07:25:55+00:00,assign vacancy,['Vacancy[550037] - Consultant'],,,['Application[770566]'],,
3449,2019-07-31 07:48:19+00:00,first screening,,,,['Application[770513]'],['Dionne Meister'],
3450,2019-07-31 07:55:33+00:00,consult manager,,['Ariel Bardin'],,['Application[770467]'],['Simon Hense'],
3451,2019-07-31 07:57:34+00:00,consult manager,,['Ariel Bardin'],,['Application[770525]'],['Jana Geisler'],
3452,2019-07-31 07:58:02+00:00,check references,,,,['Application[770498]'],"['Ed Kershaw', 'Jana Hense']",
3453,2019-07-31 07:59:34+00:00,assign recruiter,,,,['Application[770609]'],"['Jana Geisler', 'Ed Geisler', 'Simon Kershaw']",
3454,2019-07-31 08:11:56+00:00,first screening,,,,['Application[770474]'],['Jana Hense'],
3455,2019-07-31 08:25:24+00:00,assign recruiter,,,,['Application[770567]'],"['Simon Kershaw', 'Dionne Keane', 'Dionne Geisler']",
3456,2019-07-31 08:32:31+00:00,consult manager,,['Bastian Nominacher'],,['Application[770317]'],['Simon Meister'],
3457,2019-07-31 08:38:23+00:00,check references,,,,['Application[770490]'],"['Dionne Keane', 'Ed Keane']",
3458,2019-07-31 08:43:16+00:00,assign vacancy,['Vacancy[550037] - Consultant'],,,['Application[770567]'],,
3459,2019-07-31 08:59:06+00:00,conduct interview,['Vacancy[550055] - Consultant'],['Miguel Milano'],['Detlef Johnson'],['Application[770471]'],['Jana Kershaw'],
3460,2019-07-31 09:07:19+00:00,conduct interview,['Vacancy[550031] - Programmer'],['Vaishnavi Sashikanth'],['Dave Neumann'],['Application[770395]'],['Ed Hense'],
3461,2019-07-31 09:22:50+00:00,first screening,,,,['Application[770580]'],['Jana Hense'],
3462,2019-07-31 09:26:16+00:00,invite for interview,['Vacancy[550056] - Programmer'],,['Ray Jones'],['Application[770360]'],"['Jana Hense', 'Jana Keane']",
3463,2019-07-31 10:02:00+00:00,job offer declined,['Vacancy[550050] - Manager'],,['Sonia Schmidt'],['Application[770311]'],['Simon Geisler'],['Offer[[990032]]']
3464,2019-07-31 10:17:43+00:00,open vacancy,['Vacancy[550104] - Manager'],['Vaishnavi Sashikanth'],,,,
3465,2019-07-31 10:21:48+00:00,assign recruiter,,,,['Application[770495]'],"['Ed Keane', 'Ed Geisler', 'Simon Geisler']",
3466,2019-07-31 10:42:15+00:00,send rejection,,,['Vanessa Pietersen'],['Application[770462]'],['Ed Meister'],
3467,2019-07-31 10:42:15+00:00,submit application,,,['Vanessa Pietersen'],['Application[770615]'],,
3468,2019-07-31 10:42:40+00:00,first screening,,,,['Application[770541]'],['Dionne Meister'],
3469,2019-07-31 11:27:01+00:00,assign vacancy,['Vacancy[550050] - Manager'],,,['Application[770530]'],,
3470,2019-07-31 11:35:54+00:00,assign vacancy,['Vacancy[550052] - Consultant'],,,['Application[770472]'],,
3471,2019-07-31 11:36:17+00:00,check references,,,,['Application[770539]'],"['Jana Kershaw', 'Simon Meister']",
3472,2019-07-31 11:50:50+00:00,check references,,,,['Application[770513]'],"['Ed Kershaw', 'Dionne Hense']",
3473,2019-07-31 11:58:00+00:00,first screening,,,,['Application[770385]'],['Simon Meister'],
3474,2019-07-31 12:06:28+00:00,assign recruiter,,,,['Application[770397]'],"['Dionne Meister', 'Simon Kershaw', 'Dionne Geisler']",
3475,2019-07-31 12:14:30+00:00,first screening,,,,['Application[770570]'],['Simon Meister'],
3476,2019-07-31 12:21:54+00:00,first screening,,,,['Application[770442]'],['Simon Keane'],
3477,2019-07-31 12:30:15+00:00,assign recruiter,,,,['Application[770524]'],"['Ed Meister', 'Simon Keane', 'Jana Kershaw']",
3478,2019-07-31 12:37:06+00:00,send rejection,,,['Pete Pietersen'],['Application[770203]'],['Dionne Meister'],
3479,2019-07-31 12:37:06+00:00,submit application,['Vacancy[550088] - Programmer'],,['Pete Pietersen'],['Application[770616]'],,
3480,2019-07-31 12:37:23+00:00,close vacancy for new applications,['Vacancy[550061] - Programmer'],,,,,
3481,2019-07-31 12:48:50+00:00,assign recruiter,,,,['Application[770480]'],"['Dionne Kershaw', 'Dionne Geisler', 'Dionne Hense']",
3482,2019-07-31 13:00:14+00:00,assign recruiter,,,,['Application[770465]'],"['Jana Hense', 'Ed Keane', 'Ed Geisler']",
3483,2019-07-31 13:15:00+00:00,consult manager,,['Miguel Milano'],,['Application[770475]'],['Jana Meister'],
3484,2019-07-31 13:28:54+00:00,send rejection,,,['Dave Davis'],['Application[770274]'],['Dionne Keane'],
3485,2019-07-31 13:45:20+00:00,conduct interview,['Vacancy[550022] - Programmer'],['Vaishnavi Sashikanth'],['Chun Davis'],['Application[770383]'],['Dionne Keane'],
3486,2019-07-31 13:54:21+00:00,send rejection,,,['Angela Jansen'],['Application[770283]'],['Dionne Geisler'],
3487,2019-07-31 13:58:31+00:00,submit application,,,['Dave Davis'],['Application[770617]'],,
3488,2019-07-31 14:42:22+00:00,first screening,,,,['Application[770573]'],['Dionne Hense'],
3489,2019-07-31 15:01:46+00:00,check references,,,,['Application[770475]'],"['Ed Meister', 'Jana Keane']",
3490,2019-07-31 15:11:24+00:00,invite for interview,['Vacancy[550050] - Manager'],,['Jorge Davis'],['Application[770150]'],"['Jana Keane', 'Simon Kershaw']",
3491,2019-07-31 15:19:07+00:00,assign recruiter,,,,['Application[770497]'],"['Ed Kershaw', 'Simon Meister', 'Ed Keane']",
3492,2019-07-31 15:23:51+00:00,assign recruiter,,,,['Application[770597]'],"['Jana Kershaw', 'Jana Keane', 'Simon Geisler']",
3493,2019-07-31 15:29:34+00:00,assign vacancy,['Vacancy[550038] - Manager'],,,['Application[770553]'],,
3494,2019-07-31 15:31:02+00:00,conduct interview,['Vacancy[550029] - Consultant'],['Martin Klenk'],['Mary Davis'],['Application[770414]'],['Dionne Keane'],
3495,2019-07-31 15:41:22+00:00,submit application,,,['Angela Jansen'],['Application[770618]'],,
3496,2019-07-31 15:49:05+00:00,first screening,,,,['Application[770547]'],['Dionne Meister'],
3497,2019-07-31 16:15:26+00:00,make job offer,['Vacancy[550055] - Consultant'],['Miguel Milano'],['Detlef Johnson'],['Application[770471]'],['Jana Kershaw'],['Offer[[990042]]']
3498,2019-07-31 16:20:26+00:00,first screening,,,,['Application[770581]'],['Jana Hense'],
3499,2019-07-31 17:14:23+00:00,open vacancy,['Vacancy[550105] - Consultant'],['Vaishnavi Sashikanth'],,,,
3500,2019-07-31 17:30:37+00:00,assign vacancy,['Vacancy[550086] - Manager'],,,['Application[770397]'],,
3501,2019-07-31 18:00:15+00:00,send rejection,,,['Stephan Zimmermann'],['Application[770421]'],['Dionne Kershaw'],
3502,2019-07-31 18:00:15+00:00,submit application,['Vacancy[550088] - Programmer'],,['Stephan Zimmermann'],['Application[770619]'],,
3503,2019-07-31 18:31:29+00:00,assign recruiter,,,,['Application[770612]'],"['Ed Keane', 'Jana Keane', 'Simon Hense']",
3504,2019-07-31 20:04:14+00:00,invite for interview,['Vacancy[550057] - Consultant'],,['Stephan Smith'],['Application[770544]'],"['Simon Kershaw', 'Simon Geisler']",
3505,2019-08-01 00:20:43+00:00,close vacancy for new applications,['Vacancy[550062] - Programmer'],,,,,
3506,2019-08-01 00:20:43+00:00,consult manager,,['Martin Klenk'],,['Application[770485]'],['Simon Geisler'],
3507,2019-08-01 00:20:43+00:00,consult manager,,['Martin Klenk'],,['Application[770423]'],['Simon Geisler'],
3508,2019-08-01 07:10:31+00:00,invite for interview,['Vacancy[550036] - Manager'],,['Ray Smith'],['Application[770354]'],"['Jana Hense', 'Ed Meister']",
3509,2019-08-01 07:17:29+00:00,check references,,,,['Application[770317]'],"['Jana Geisler', 'Simon Keane']",
3510,2019-08-01 08:04:12+00:00,check references,,,,['Application[770398]'],"['Jana Kershaw', 'Simon Kershaw']",
3511,2019-08-01 08:13:08+00:00,check references,,,,['Application[770580]'],"['Dionne Keane', 'Ed Geisler']",
3512,2019-08-01 08:40:38+00:00,first screening,,,,['Application[770478]'],['Ed Hense'],
3513,2019-08-01 08:56:05+00:00,first screening,,,,['Application[770315]'],['Ed Kershaw'],
3514,2019-08-01 09:17:25+00:00,conduct interview,['Vacancy[550057] - Consultant'],['Ariel Bardin'],['Stephan Smith'],['Application[770544]'],['Simon Meister'],
3515,2019-08-01 09:20:48+00:00,assign recruiter,,,,['Application[770533]'],"['Simon Geisler', 'Jana Meister', 'Dionne Keane']",
3516,2019-08-01 09:20:57+00:00,consult manager,,['Martin Klenk'],,['Application[770175]'],['Jana Kershaw'],
3517,2019-08-01 09:39:23+00:00,assign recruiter,,,,['Application[770535]'],"['Jana Hense', 'Dionne Hense', 'Dionne Geisler']",
3518,2019-08-01 10:22:34+00:00,first screening,,,,['Application[770601]'],['Ed Kershaw'],
3519,2019-08-01 10:34:11+00:00,first screening,,,,['Application[770576]'],['Jana Geisler'],
3520,2019-08-01 10:36:32+00:00,open vacancy,['Vacancy[550106] - Manager'],['Vaishnavi Sashikanth'],,,,
3521,2019-08-01 10:36:32+00:00,make job offer,['Vacancy[550029] - Consultant'],['Martin Klenk'],['Mary Davis'],['Application[770414]'],['Dionne Keane'],['Offer[[990043]]']
3522,2019-08-01 11:02:07+00:00,check references,,,,['Application[770410]'],"['Jana Meister', 'Simon Kershaw']",
3523,2019-08-01 11:21:10+00:00,consult manager,,['Martin Klenk'],,['Application[770580]'],['Jana Hense'],
3524,2019-08-01 11:53:30+00:00,send rejection,,,['Mary Smith'],['Application[770429]'],['Dionne Hense'],
3525,2019-08-01 11:53:30+00:00,submit application,,,['Mary Smith'],['Application[770620]'],,
3526,2019-08-01 11:54:57+00:00,assign vacancy,['Vacancy[550036] - Manager'],,,['Application[770480]'],,
3527,2019-08-01 12:31:25+00:00,invite for interview,['Vacancy[550054] - Programmer'],,['Stephan Wagner'],['Application[770520]'],"['Ed Geisler', 'Simon Hense']",
3528,2019-08-01 12:42:27+00:00,assign vacancy,['Vacancy[550084] - Manager'],,,['Application[770450]'],,
3529,2019-08-01 12:55:45+00:00,close vacancy for new applications,['Vacancy[550063] - Programmer'],,,,,
3530,2019-08-01 12:55:45+00:00,consult manager,,['Miguel Milano'],,['Application[770451]'],['Jana Meister'],
3531,2019-08-01 12:55:45+00:00,consult manager,,['Miguel Milano'],,['Application[770579]'],['Dionne Keane'],
3532,2019-08-01 12:58:00+00:00,check references,,,,['Application[770592]'],"['Dionne Keane', 'Simon Kershaw']",
3533,2019-08-01 13:06:31+00:00,first screening,,,,['Application[770480]'],['Dionne Kershaw'],
3534,2019-08-01 13:07:45+00:00,check references,,,,['Application[770534]'],"['Ed Geisler', 'Ed Kershaw']",
